ds,lag1_level__m,lag3_level__m,lag7_level__m,lag14_level__m,belet_weyne_level__m,belet_weyne_lag1_level__m,belet_weyne_lag3_level__m,belet_weyne_lag7_level__m,belet_weyne_lag14_level__m,ethiopia_fafen_haren_precipitation_sum,ethiopia_fafen_haren_precipitation_hours,ethiopia_fafen_haren_lag1_precipitation_sum,ethiopia_fafen_haren_lag1_precipitation_hours,ethiopia_fafen_haren_lag3_precipitation_sum,ethiopia_fafen_haren_lag3_precipitation_hours,ethiopia_fafen_haren_lag7_precipitation_sum,ethiopia_fafen_haren_lag7_precipitation_hours,ethiopia_fafen_haren_lag14_precipitation_sum,ethiopia_fafen_haren_lag14_precipitation_hours,ethiopia_fafen_gebredarre_precipitation_sum,ethiopia_fafen_gebredarre_precipitation_hours,ethiopia_fafen_gebredarre_lag1_precipitation_sum,ethiopia_fafen_gebredarre_lag1_precipitation_hours,ethiopia_fafen_gebredarre_lag3_precipitation_sum,ethiopia_fafen_gebredarre_lag3_precipitation_hours,ethiopia_fafen_gebredarre_lag7_precipitation_sum,ethiopia_fafen_gebredarre_lag7_precipitation_hours,ethiopia_fafen_gebredarre_lag14_precipitation_sum,ethiopia_fafen_gebredarre_lag14_precipitation_hours,ethiopia_shabelle_gode_precipitation_sum,ethiopia_shabelle_gode_precipitation_hours,ethiopia_shabelle_gode_lag1_precipitation_sum,ethiopia_shabelle_gode_lag1_precipitation_hours,ethiopia_shabelle_gode_lag3_precipitation_sum,ethiopia_shabelle_gode_lag3_precipitation_hours,ethiopia_shabelle_gode_lag7_precipitation_sum,ethiopia_shabelle_gode_lag7_precipitation_hours,ethiopia_shabelle_gode_lag14_precipitation_sum,ethiopia_shabelle_gode_lag14_precipitation_hours,y
2021-11-24,2.51,2.6,2.78,3.42,3.24,3.3,3.45,3.85,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000001,3.0,0.0,0.0,2.48
2021-11-25,2.48,2.55,2.74,3.3,3.2,3.24,3.38,3.66,4.38,3.3999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45
2021-11-26,2.45,2.51,2.69,3.22,3.1,3.2,3.3,3.66,4.38,0.1,1.0,3.3999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,3.3999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.900002,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
2021-11-27,2.4,2.48,2.66,3.11,3.1,3.1,3.24,3.55,4.27,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,19.900002,7.0,0.0,0.0,0.0,0.0,0.8,2.0,2.36
2021-11-28,2.36,2.45,2.6,3.02,3.05,3.1,3.2,3.45,4.18,0.0,0.0,0.0,0.0,3.3999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3999999,7.0,0.0,0.0,0.0,0.0,0.1,1.0,0.4,3.0,0.0,0.0,0.0,0.0,0.1,1.0,2.3
2021-11-29,2.3,2.4,2.55,2.9,2.9,3.05,3.1,3.38,4.1,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,19.900002,7.0,0.0,0.0,0.0,0.0,2.23
2021-11-30,2.23,2.36,2.51,2.83,2.9,2.9,3.1,3.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,0.0,0.0,0.0,0.0,2.18
2021-12-01,2.18,2.3,2.48,2.78,2.72,2.9,3.05,3.24,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.8000001,3.0,2.12
2021-12-02,2.12,2.23,2.45,2.74,2.72,2.72,2.9,3.2,3.66,0.0,0.0,0.0,0.0,0.0,0.0,3.3999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05
2021-12-03,2.05,2.18,2.4,2.69,2.65,2.72,2.9,3.1,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.900002,7.0,0.0,0.0,2.0
